#  Contiguous U.S. Palmer Hydrological Drought Index (PHDI)
Date,Value
199201,1.45
199202,1.35
199203,0.88
199204,-0.86
199205,-1.45
199206,-0.74
199207,1.63
199208,2.38
199209,2.14
199210,1.56
199211,2.52
199212,3.31
199301,4.35
199302,4.17
199303,4.05
199304,4.2
199305,3.74
199306,4.21
199307,4.8
199308,4.98
199309,4.84
199310,4.59
199311,4.45
199312,4.13
199401,4.08
199402,3.91
199403,3.04
199404,2.88
199405,2.11
199406,1.65
199407,1.56
199408,1.25
199409,0.7
199410,1.26
199411,1.75
199412,1.78
199501,2.71
199502,1.95
199503,2.05
199504,2.37
199505,3.48
199506,3.59
199507,3.53
199508,3.21
199509,2.65
199510,2.81
199511,2.71
199512,2.57
199601,3.03
199602,2.6
199603,2.24
199604,2.15
199605,2.25
199606,1.9
199607,2.14
199608,2.1
199609,3
199610,3.14
199611,3.9
199612,5.06
199701,5.61
199702,5.36
199703,4.41
199704,4.83
199705,4.34
199706,4.44
199707,4.25
199708,4.09
199709,3.62
199710,3.65
199711,3.5
199712,3.35
199801,4.14
199802,4.8
199803,5.03
199804,4.61
199805,3.6
199806,3.67
199807,3.28
199808,2.49
199809,1.79
199810,2.24
199811,2.18
199812,1.83
199901,2.37
199902,1.82
199903,1.16
199904,1.38
199905,1.29
199906,1.62
199907,1.49
199908,0.97
199909,0.95
199910,-0.78
199911,-2.08
199912,-3.31
200001,-4.31
200002,-5.14
200003,-5.15
200004,-4.94
200005,-5.02
200006,-4.04
200007,-4.07
200008,-4.74
200009,-4.69
200010,-4.23
200011,-3.37
200012,-3.49
200101,-3.65
200102,-3.02
200103,-2.66
200104,-2.98
200105,-3.11
200106,-2.63
200107,-2.53
200108,-2.8
200109,-2.67
200110,-2.5
200111,-2.72
200112,-2.95
200201,-3.31
200202,-3.8
200203,-3.18
200204,-3.34
200205,-3.1
200206,-3.31
200207,-3.54
200208,-3.73
200209,-3.39
200210,-2.08
200211,-2.01
200212,-1.28
200301,-1.42
200302,-0.63
200303,-0.79
200304,-0.64
200305,1.1
200306,1.63
200307,1.61
200308,1.22
200309,1.41
200310,0.77
200311,0.76
200312,-0.5
200401,-0.74
200402,-0.17
200403,-1.28
200404,-1.31
200405,-0.96
200406,0.88
200407,1.51
200408,2.35
200409,2.65
200410,3.17
200411,4.01
200412,4.5
200501,5
200502,4.41
200503,3.68
200504,3.26
200505,2.9
200506,2.8
200507,2.45
200508,2.47
200509,1.43
200510,1.37
200511,0.87
200512,-1.11
200601,-1.18
200602,-1.49
200603,-1.67
200604,-1.94
200605,-2.56
200606,-2.93
200607,-3.64
200608,-3.62
200609,-2.86
200610,-1.77
200611,-1.5
200612,-1.16
200701,-0.8
200702,-0.85
200703,-1.62
200704,-1.36
200705,-1.62
200706,-1.56
200707,-1.54
200708,-1.76
200709,-2.09
200710,-1.63
200711,-2.47
200712,-2.34
200801,-2.39
200802,-1.66
200803,-1.54
200804,-1.22
200805,-0.87
200806,-0.74
200807,0.73
200808,1.19
200809,1.27
200810,1.23
200811,0.74
200812,0.95
200901,0.55
200902,-0.8
200903,0.04
200904,0.4
200905,0.58
200906,0.68
200907,1.19
200908,1.42
200909,1.25
200910,3.42
200911,3.06
200912,4.18
201001,4.67
201002,4.31
201003,3.43
201004,2.74
201005,2.91
201006,3.03
201007,3.49
201008,3.13
201009,2.97
201010,2.36
201011,1.97
201012,1.72
201101,1.07
201102,1.03
201103,1.17
201104,1.85
201105,2.32
201106,1.7
201107,1.05
201108,-1.52
201109,-1.57
201110,-1.53
201111,-1.57
201112,-1.88
201201,-2.3
201202,-2.37
201203,-2.71
201204,-3.1
201205,-3.56
201206,-4.11
201207,-4.78
201208,-5.1
201209,-4.98
201210,-4.42
201211,-5.22
201212,-5.26
201301,-5.3
201302,-4.9
201303,-5.19
201304,-4.07
201305,-3.29
201306,-2.66
201307,-1.63
201308,-1.31
201309,-0.85
201310,-0.57
201311,-0.57
201312,1.44
201401,0.73
201402,1
201403,0.82
201404,1.05
201405,0.74
201406,1.33
201407,1.27
201408,1.79
201409,1.66
201410,1.53
201411,1.44
201412,1.41
201501,1.11
201502,0.84
201503,-1.06
201504,-0.85
201505,1.47
201506,1.71
201507,2.24
201508,2
201509,1.11
201510,1.4
201511,2.1
201512,3.52
